element,key,value_number,value_text,note
planned_pair,45-53,8.0,lag,drawn in the adjacency map
planned_pair,45-61,16.0,lag,drawn in the adjacency map
planned_pair,46-47,1.0,lag,drawn in the adjacency map
planned_pair,46-48,2.0,lag,drawn in the adjacency map
planned_pair,46-50,4.0,lag,drawn in the adjacency map
planned_pair,46-54,8.0,lag,drawn in the adjacency map
planned_pair,46-62,16.0,lag,drawn in the adjacency map
planned_pair,47-48,1.0,lag,drawn in the adjacency map
planned_pair,47-49,2.0,lag,drawn in the adjacency map
planned_pair,47-51,4.0,lag,drawn in the adjacency map
planned_pair,47-55,8.0,lag,drawn in the adjacency map
planned_pair,47-63,16.0,lag,drawn in the adjacency map
planned_pair,48-49,1.0,lag,drawn in the adjacency map
planned_pair,48-50,2.0,lag,drawn in the adjacency map
planned_pair,48-52,4.0,lag,drawn in the adjacency map
planned_pair,48-56,8.0,lag,drawn in the adjacency map
planned_pair,48-64,16.0,lag,drawn in the adjacency map
planned_pair,49-50,1.0,lag,drawn in the adjacency map
planned_pair,49-51,2.0,lag,drawn in the adjacency map
planned_pair,49-53,4.0,lag,drawn in the adjacency map
planned_pair,49-57,8.0,lag,drawn in the adjacency map
planned_pair,49-65,16.0,lag,drawn in the adjacency map
planned_pair,50-51,1.0,lag,drawn in the adjacency map
planned_pair,50-52,2.0,lag,drawn in the adjacency map
planned_pair,50-54,4.0,lag,drawn in the adjacency map
planned_pair,50-58,8.0,lag,drawn in the adjacency map
planned_pair,50-66,16.0,lag,drawn in the adjacency map
planned_pair,51-52,1.0,lag,drawn in the adjacency map
planned_pair,51-53,2.0,lag,drawn in the adjacency map
planned_pair,51-55,4.0,lag,drawn in the adjacency map
planned_pair,51-59,8.0,lag,drawn in the adjacency map
planned_pair,51-67,16.0,lag,drawn in the adjacency map
planned_pair,52-53,1.0,lag,drawn in the adjacency map
planned_pair,52-54,2.0,lag,drawn in the adjacency map
planned_pair,52-56,4.0,lag,drawn in the adjacency map
planned_pair,52-60,8.0,lag,drawn in the adjacency map
planned_pair,52-68,16.0,lag,drawn in the adjacency map
planned_pair,53-54,1.0,lag,drawn in the adjacency map
planned_pair,53-55,2.0,lag,drawn in the adjacency map
planned_pair,53-57,4.0,lag,drawn in the adjacency map
planned_pair,53-61,8.0,lag,drawn in the adjacency map
planned_pair,53-69,16.0,lag,drawn in the adjacency map
planned_pair,54-55,1.0,lag,drawn in the adjacency map
planned_pair,54-56,2.0,lag,drawn in the adjacency map
planned_pair,54-58,4.0,lag,drawn in the adjacency map
planned_pair,54-62,8.0,lag,drawn in the adjacency map
planned_pair,54-70,16.0,lag,drawn in the adjacency map
planned_pair,55-56,1.0,lag,drawn in the adjacency map
planned_pair,55-57,2.0,lag,drawn in the adjacency map
planned_pair,55-59,4.0,lag,drawn in the adjacency map
planned_pair,55-63,8.0,lag,drawn in the adjacency map
planned_pair,55-71,16.0,lag,drawn in the adjacency map
planned_pair,56-57,1.0,lag,drawn in the adjacency map
planned_pair,56-58,2.0,lag,drawn in the adjacency map
planned_pair,56-60,4.0,lag,drawn in the adjacency map
planned_pair,56-64,8.0,lag,drawn in the adjacency map
planned_pair,56-72,16.0,lag,drawn in the adjacency map
planned_pair,57-58,1.0,lag,drawn in the adjacency map
planned_pair,57-59,2.0,lag,drawn in the adjacency map
planned_pair,57-61,4.0,lag,drawn in the adjacency map
planned_pair,57-65,8.0,lag,drawn in the adjacency map
planned_pair,57-73,16.0,lag,drawn in the adjacency map
planned_pair,58-59,1.0,lag,drawn in the adjacency map
planned_pair,58-60,2.0,lag,drawn in the adjacency map
planned_pair,58-62,4.0,lag,drawn in the adjacency map
planned_pair,58-66,8.0,lag,drawn in the adjacency map
planned_pair,58-74,16.0,lag,drawn in the adjacency map
planned_pair,59-60,1.0,lag,drawn in the adjacency map
planned_pair,59-61,2.0,lag,drawn in the adjacency map
planned_pair,59-63,4.0,lag,drawn in the adjacency map
planned_pair,59-67,8.0,lag,drawn in the adjacency map
planned_pair,59-75,16.0,lag,drawn in the adjacency map
planned_pair,60-61,1.0,lag,drawn in the adjacency map
planned_pair,60-62,2.0,lag,drawn in the adjacency map
planned_pair,60-64,4.0,lag,drawn in the adjacency map
planned_pair,60-68,8.0,lag,drawn in the adjacency map
planned_pair,60-76,16.0,lag,drawn in the adjacency map
planned_pair,61-62,1.0,lag,drawn in the adjacency map
planned_pair,61-63,2.0,lag,drawn in the adjacency map
planned_pair,61-65,4.0,lag,drawn in the adjacency map
planned_pair,61-69,8.0,lag,drawn in the adjacency map
planned_pair,61-77,16.0,lag,drawn in the adjacency map
planned_pair,62-63,1.0,lag,drawn in the adjacency map
planned_pair,62-64,2.0,lag,drawn in the adjacency map
planned_pair,62-66,4.0,lag,drawn in the adjacency map
planned_pair,62-70,8.0,lag,drawn in the adjacency map
planned_pair,62-78,16.0,lag,drawn in the adjacency map
planned_pair,63-64,1.0,lag,drawn in the adjacency map
planned_pair,63-65,2.0,lag,drawn in the adjacency map
planned_pair,63-67,4.0,lag,drawn in the adjacency map
planned_pair,63-71,8.0,lag,drawn in the adjacency map
planned_pair,63-79,16.0,lag,drawn in the adjacency map
planned_pair,64-65,1.0,lag,drawn in the adjacency map
planned_pair,64-66,2.0,lag,drawn in the adjacency map
planned_pair,64-68,4.0,lag,drawn in the adjacency map
planned_pair,64-72,8.0,lag,drawn in the adjacency map
planned_pair,64-80,16.0,lag,drawn in the adjacency map
planned_pair,65-66,1.0,lag,drawn in the adjacency map
planned_pair,65-67,2.0,lag,drawn in the adjacency map
planned_pair,65-69,4.0,lag,drawn in the adjacency map
planned_pair,65-73,8.0,lag,drawn in the adjacency map
planned_pair,65-81,16.0,lag,drawn in the adjacency map
planned_pair,66-67,1.0,lag,drawn in the adjacency map
planned_pair,66-68,2.0,lag,drawn in the adjacency map
planned_pair,66-70,4.0,lag,drawn in the adjacency map
planned_pair,66-74,8.0,lag,drawn in the adjacency map
planned_pair,66-82,16.0,lag,drawn in the adjacency map
planned_pair,67-68,1.0,lag,drawn in the adjacency map
planned_pair,67-69,2.0,lag,drawn in the adjacency map
planned_pair,67-71,4.0,lag,drawn in the adjacency map
planned_pair,67-75,8.0,lag,drawn in the adjacency map
planned_pair,67-83,16.0,lag,drawn in the adjacency map
planned_pair,68-69,1.0,lag,drawn in the adjacency map
planned_pair,68-70,2.0,lag,drawn in the adjacency map
planned_pair,68-72,4.0,lag,drawn in the adjacency map
planned_pair,68-76,8.0,lag,drawn in the adjacency map
planned_pair,68-84,16.0,lag,drawn in the adjacency map
planned_pair,69-70,1.0,lag,drawn in the adjacency map
planned_pair,69-71,2.0,lag,drawn in the adjacency map
planned_pair,69-73,4.0,lag,drawn in the adjacency map
planned_pair,69-77,8.0,lag,drawn in the adjacency map
planned_pair,69-85,16.0,lag,drawn in the adjacency map
planned_pair,70-71,1.0,lag,drawn in the adjacency map
planned_pair,70-72,2.0,lag,drawn in the adjacency map
planned_pair,70-74,4.0,lag,drawn in the adjacency map
